Conversation ID,Time Taken,Conversational Friction (Y/N) ,Conversational Success ,Ending,Type,
94.1,26 minutes,Yes,Some Progress,Someone ran out of time,Type 1 ,
85.1,24 minutes,Yes,Some Progress,Conversation Ended Abruptly,Type 1 ,
77.2,16 minutes,Yes,Success,Conversation had a natural End,Type 1 ,
70.2,25 minutes,Yes,Success,Conversation had a natural End,Type 1 ,
59.6,22 minutes,Yes,No Progress,Conversation Ended Abruptly,Type 1 ,
58.3,16 minutes,Yes,Some Progress,Conversation had a natural End,Type 1 ,
55.7,21 minutes,Yes,Some Progress,Conversation had a natural End,Type 1 ,
50.9,15 minutes,Yes,Some Progress,Conversation Ended Abruptly,Type 1 ,
41.29,11 minutes,Yes,Success,Conversation had a natural End,Type 1 ,
38.24,7 minutes,No,Success,Conversation had a natural End,Type 1 ,
33.51,9 minutes,No,Some Progress,Conversation Ended Abruptly,Type 1 ,
32.38,7 minutes,No,No Progress,Conversation Ended Abruptly,Type 1 ,
22.503,8 minutes,Yes,No Progress,Conversation Ended Abruptly,Type 1 ,
21.567,10 minutes,Yes,No Progress,Conversation had a natural End ,Type 1 ,
21.417,6 minutes,No,No Progress,Conversation Ended Abruptly,Type 1 ,
17.919,9 minutes,Yes,Some Progress,Conversation had a natural End,Type 1 ,
12.2648,4 minutes,No,No Progress,Conversation Ended Abruptly,Type 1 ,
7.4560,2 minutes,No,No Progress,Conversation Ended Abruptly,Type 1 ,
6.5972,2 minutes,No,No Progress,Conversation Ended Abruptly,Type 1 ,
5.20724,1 minute,No,No Progress,Other,Type 1 ,"Other person is not necessarily a ""helper"" - they simply told the user to stop flooding the forum and stopped talking afterward."
