Conversation ID,Time Taken,Conversational Friction (Y/N) ,Conversational Success ,Ending,Type,Comments
5.35550,2,No,Success,Conversation had a natural End,Type 1 ,
6.22939,5,No,Success,Conversation had a natural End,Type 1 ,
8.4543,4,No,Success,Conversation had a natural End,Type 1 ,
9.4046,5,Yes,No Progress,Conversation Ended Abruptly,Type 1 ,This seems to be missing something...
15.1015,6,Yes,Some Progress,Conversation had a natural End,Type 1 ,
20.100,14,Yes,Some Progress,Conversation had a natural End,Type 1 ,
20.334,9,Yes,Some Progress,Conversation Ended Abruptly,Type 1 ,
22.260,10,Yes,Some Progress,Conversation Ended Abruptly,Type 1 ,
31.60,9,Yes,No Progress,Conversation Ended Abruptly,Type 1 ,
32.70,8,No,Success,Conversation had a natural End,Type 1 ,
37.20,15,Yes,Some Progress,Conversation had a natural End,Type 1 ,
47.2,6,No,Success,Conversation had a natural End,Type 1 ,
56.1,17,Yes,Some Progress,Conversation Ended Abruptly,Type 1 ,
56.3,12,Yes,Some Progress,Conversation had a natural End,Type 1 ,
59.5,10,Yes,Some Progress,Conversation Ended Abruptly,Type 1 ,
67.2,15,Yes,No Progress,Someone ran out of time,Type 1 ,
73.2,19,Yes,Some Progress,Someone ran out of time,Type 1 ,
76.4,11,Yes,No Progress,Someone ran out of time,Type 1 ,
83.1,13,Yes,Success,Conversation had a natural End,Type 1 ,
88.1,16,Yes,Some Progress,Someone ran out of time,Type 1 ,
