conv_id,turn_id,sentence1,sentence2,label
21.107,3,"A (piko_water): i have .mkv format video trying to play but no sound and no pic A (piko_water): does anybody know which player to play with .mkv B (carandraug): piko_water: I use mplayer to see mkv files A (piko_water): carandraug, well its giving me error when i am tryiing to open with mplayer B (carandraug): piko_water: what's the error? B (carandraug): piko_water: use pastebin A (piko_water): carandraug, oh well manage to play with codine but movie is playing so slow and no sound","A (piko_water): carandraug, well its giving me error when i am tryiing to open with mplayer",0
78.1,22,"B (kostkon): linuxguy2009, and what have you tried so far? A (linuxguy2009): kostkon: gdebi reinstall, synaptic, aptitude, dpkg, some with force options. A (linuxguy2009): kostkon: All saying that the archive can not be found B (kostkon): linuxguy2009, do this: ls /var/lib/dpkg/info/adobe*. do you get anything? B (kostkon): linuxguy2009, without the ""."" ;) A (linuxguy2009): kostkon:http://pastebin.com/m1edbc7ec B (kostkon): linuxguy2009, aha. ok. do this now: sudo rm /var/lib/dpkg/info/adobe-flashplugin*.*","B (kostkon): linuxguy2009, do this: ls /var/lib/dpkg/info/adobe*. do you get anything?",0
60.6,22,"A (Mean_Admin): debugnet: so that manpage should be valid B (debugnet): Mean_Admin: 1.14 myself B (debugnet): Mean_Admin:  probably A (Mean_Admin): debugnet: bleeding-edge, eh :P A (Mean_Admin): debugnet: all right then ... so I'll try a vanilla        ddrescue /dev/sda3 /dev/sdb1 B (debugnet): Mean_Admin: funny, try to sometimes B (debugnet): Mean_Admin: my recommendation would send to a file so you can keep the image for backup purposes later, just a thought...","A (Mean_Admin): debugnet: bleeding-edge, eh :P",0
100.1,56,"B (Treenaks): lil_anthony: so yes, it might have broken stuff.. A (lil_anthony): and ran it B (Treenaks): lil_anthony: didn't it warn you? A (lil_anthony): nope A (lil_anthony): its even in the synaptic A (lil_anthony): so maybe i need the driver? B (Treenaks): lil_anthony: maybe it works better for some people, but those people generally know it",A (lil_anthony): nope,0
67.2,40,A (kanupatar): I cannot see ~/.ssh/id_rsa.pub B (cablegunmaster): kanupatar get me a log of your terminal of what happened. what steps you took. because this log codepad.org doessnt tell me anything. B (cablegunmaster): I am missing something of your picture aka can't look inside your head. A (kanupatar): cablegunmaster: I go the similar output as in the pastebin B (cablegunmaster): ah B (cablegunmaster): that is better :p A (kanupatar): no errors,A (kanupatar): cablegunmaster: I go the similar output as in the pastebin,0
100.1,78,"B (Treenaks): lil_anthony: type 'dmesg' again B (Treenaks): lil_anthony: does it say ""NETDEV WATCHDOG"" stuff? A (lil_anthony): let me look A (lil_anthony): don't see the watchdogs at all B (Treenaks): lil_anthony: then your network cards work fine B (Treenaks): lil_anthony: you should be able to configure if they use DHCP, etc. in the network configuration panel A (lil_anthony): aww",A (lil_anthony): don't see the watchdogs at all,0
101.1,17,"B (user4212): Zenom: doh!  ""glxinfo|grep renderer"" A (Zenom): Radeon HD5450 B (user4212): Zenom: OpenGL renderer string? A (Zenom): https://ghostbin.com/paste/hb9wq B (user4212): Zenom: looks like neither amd radeon, nor amdgpu are running B (user4212): Zenom: you are on llvm pipe A (Zenom): What's the llvm pipe?",A (Zenom): https://ghostbin.com/paste/hb9wq,0
61.5,2,"A (xpertwinner): hello, I have a linux partition in an external hdd that wont mount because of  ""cant read superblock"" error A (xpertwinner): I have tried to check disk for badblocks, and then run check disk with an alternative superblock A (xpertwinner): but still cannot mount the drive A (xpertwinner): does anyone know any alternative, or what would be possible to recover? thank you! B (akik): xpertwinner: have you tried to use e2fsck with -b option? B (akik): xpertwinner: it makes it use another superblock",A (xpertwinner): but still cannot mount the drive,0
17.920,15,"B (ikonia): yes B (ikonia): and I recommend you stay clear of it B (ikonia): and just contact the provider and ask if/how they support linux A (Stefan48): thanks A (Stefan48): got to go,bye",A (Stefan48): thanks,0
21.417,8,"A (jubei): blazemore, yeah actually I realized that I must first ""add"" that mode A (jubei): blazemore, so that's where I'm stuck now. B (blazemore): jubei: type ""cvt 800 600 60"" B (blazemore): jubei: replace 800, 600 and 60 with your horizontal and vertical resolution, and refresh rate B (blazemore): Then copy the information after the word ""Modeline"" into the xrandr command: B (blazemore): $ xrandr --newmode ""800x600_60.00""   38.25  800 832 912 1024  600 603 607 624 -hsync +vsync A (jubei): blazemore, I've done all that","B (blazemore): jubei: replace 800, 600 and 60 with your horizontal and vertical resolution, and refresh rate",0
56.2,35,"A (iratsu): caonex: but it apparently needs eth0 to be up for some reason B (caonex): iratsu, ok good call, then A (iratsu): caonex: http://service.sympatico.ca/index.cfm?method=content.view&category_id=99&content_id=1138 B (caonex): hmm....one sec A (iratsu): caonex: ifconfig eth0 0.0.0.0 up -arp is not supposed to put it up on broadcast, right? B (caonex): iratsu, that is what it seems B (caonex): iratsu, did you try doing that?",B (caonex): hmm....one sec,0
60.7,19,"A (nownot): escott: not sure where the 0_0 and 1_0 is coming from B (escott): nownot, what does /proc/mdstat show right now A (nownot): escott: http://pastie.org/5537242 B (escott): nownot, the array you want to start is md127 not sure what the 0_0 is so I would ""mdadm -A /dev/md127"" A (nownot): escott: /dev/md127 not identifie in config file B (escott): nownot, what personality is 127 supposed to be A (nownot): escott: personality? you mean something like 5 disk raid 5?","B (escott): nownot, the array you want to start is md127 not sure what the 0_0 is so I would ""mdadm -A /dev/md127""",1
59.3,15,"A (Leefmc): Tonehog: No CD Drive A (Leefmc): Tonehog: And i know you dont need the drive, it can all be done via console, but still. :) B (Tonehog): Leefmc: I'm not sure what kind of problems you're having. Are you having issues with playing audio files, or audio from CD? A (Leefmc): Tonehog: Nono, im just saying i dont feel like tinkering with big distro stuff (like the desktop) at the moment, because a clean install (if needed) is not easy. So i'd rather just leave my system as is for now heh A (Leefmc): Tonehog: Eventually i need to format, so i can partition /home B (Tonehog): Leefmc: what issues are you having with amarok? A (Leefmc): Tonehog: Don't remember, but it waslike 5 of them and i finally said forget it :)","A (Leefmc): Tonehog: Nono, im just saying i dont feel like tinkering with big distro stuff (like the desktop) at the moment, because a clean install (if needed) is not easy. So i'd rather just leave my system as is for now heh",1
6.11854,5,B (dany): @ pylix sorry wrong one A (Pylix): roger B (dany): @ pylix : i mean xfce-look.org/ A (Pylix): well that makes sense dan,A (Pylix): well that makes sense dan,0
90.1,38,"A (pate4ever): mattyv: okay hold on i may lose the connection B (mattyv): pate4ever: Oh, you might need to go back to the network config and disable the wired and enable the wirless, also set the default gateway to the wireless. Change it back if you dropout A (pate4ever): mattyv: that did not work A (pate4ever): mattyv: okay let me do this. i will be right back B (mattyv): pate4ever: If my last suggestion doesn't work I'll try to think of a way of finding out a bit more A (pate4ever): mattyv: did not work B (mattyv): pate4ever: :( We need to find out the actual chipset of your card",A (pate4ever): mattyv: okay let me do this. i will be right back,0
